exercise,type,bodypart,equipment,level
Biceps Rope Curl,Strength,Abdominals,Cable,Intermediate
Kneeling Cable Crunches,Strength,Abdominals,Cable,Intermediate
Ab Crunch Machine,Strength,Abdominals,Machine,Intermediate
Smith machine straight-legged hip raise,Strength,Abdominals,Machine,Intermediate
Machine crunch,Strength,Abdominals,Machine,Intermediate
AM Ab Machine,Strength,Abdominals,Machine,Intermediate
Smith machine V-up,Strength,Abdominals,Machine,Intermediate
Elbow plank,Strength,Abdominals,Body Only,Intermediate
Bottoms Up,Strength,Abdominals,Body Only,Intermediate
Spider crawl,Strength,Abdominals,Body Only,Intermediate
Cocoons,Strength,Abdominals,Body Only,Intermediate
Cross-Body Crunch,Strength,Abdominals,Body Only,Intermediate
Elbow-to-knee crunch,Strength,Abdominals,Body Only,Intermediate
Decline Crunch,Strength,Abdominals,Body Only,Intermediate
Hanging toes-to-bar,Strength,Abdominals,Body Only,Intermediate
Hanging Oblique Knee Raise,Strength,Abdominals,Body Only,Intermediate
Gorilla Chin/Crunch,Strength,Abdominals,Body Only,Beginner
Hanging leg raise,Strength,Abdominals,Body Only,Intermediate
Mountain climber,Plyometrics,Abdominals,Body Only,Intermediate
Ab bicycle,Strength,Abdominals,Body Only,Intermediate
3/4 sit-up,Strength,Abdominals,Body Only,Intermediate
Reverse crunch,Strength,Abdominals,Body Only,Intermediate
Crunches,Strength,Abdominals,Body Only,Intermediate
Dead bug reach,Strength,Abdominals,Body Only,Intermediate
Crunch - Hands Overhead,Strength,Abdominals,Body Only,Beginner
V-up,Strength,Abdominals,Body Only,Intermediate
Stomach Vacuum,Stretching,Abdominals,Body Only,Beginner
Russian twist,Strength,Abdominals,Body Only,Intermediate
Flat Bench Lying Leg Raise,Strength,Abdominals,Body Only,Intermediate
Knees tucked crunch,Strength,Abdominals,Body Only,Intermediate
Butt-Ups,Strength,Abdominals,Body Only,Beginner
Feet-elevated oblique crunch,Strength,Abdominals,Body Only,Intermediate
Bent-knee reverse crunch,Strength,Abdominals,Body Only,Intermediate
Alternating heel-touch,Strength,Abdominals,Body Only,Intermediate
Suspended Reverse Crunch,Strength,Abdominals,Body Only,Intermediate
Lying bench reverse crunch,Strength,Abdominals,Body Only,Intermediate
Sit-up,Strength,Abdominals,Body Only,Intermediate
Side Bridge,Strength,Abdominals,Body Only,Intermediate
Lying oblique crunch,Strength,Abdominals,Body Only,Intermediate
Janda Sit-Up,Strength,Abdominals,Body Only,Beginner
Leg Pull-In,Strength,Abdominals,Body Only,Beginner
Side Jackknife,Strength,Abdominals,Body Only,Intermediate
Scissor Kick,Stretching,Abdominals,Body Only,Intermediate
Toe Touchers,Stretching,Abdominals,Body Only,Intermediate
Lower Back Curl,Stretching,Abdominals,Body Only,Intermediate
Exercise ball torso rotation,Stretching,Abdominals,Body Only,Intermediate
Seated Overhead Stretch,Stretching,Abdominals,Body Only,Intermediate
Overhead Stretch,Stretching,Abdominals,Body Only,Intermediate
Seated Scissor Kick,Strength,Abdominals,Body Only,Intermediate
Partner resistance standing twist,Strength,Abdominals,Body Only,Intermediate
Cross Crunch,Strength,Abdominals,Body Only,Beginner
Full Moon,Strength,Abdominals,Body Only,Beginner
Hanging knee raise with manual resistance,Strength,Abdominals,Body Only,Beginner
Straight-Legged Hip Raise,Strength,Abdominals,Body Only,Intermediate
Wall mountain climber,Plyometrics,Abdominals,Body Only,Intermediate
Skin The Cat To Push-Up,Strength,Abdominals,Body Only,Intermediate
Partner lying leg raise with lateral throw down,Strength,Abdominals,Body Only,Beginner
Hanging leg raise with throw down,Strength,Abdominals,Body Only,Beginner
Partner sit-up with high-five,Strength,Abdominals,Body Only,Beginner
Exercise ball knee roll-in,Strength,Abdominals,Body Only,Intermediate
Partner lying leg raise with throw down,Strength,Abdominals,Body Only,Beginner
Crab toe-touch,Strength,Abdominals,Body Only,Intermediate
Side kick-through,Strength,Abdominals,Body Only,Intermediate
Partner target sit-up,Strength,Abdominals,Body Only,Beginner
Suspended Crunch,Strength,Abdominals,Body Only,Beginner
Jump Lunge,Strength,Abdominals,Body Only,Intermediate
Side plank hip dip,Strength,Abdominals,Body Only,Intermediate
Elbow plank jack,Strength,Abdominals,Body Only,Intermediate
Exercise ball V-up,Strength,Abdominals,Body Only,Intermediate
Standing torso twist stretch,Strength,Abdominals,Body Only,Intermediate
Slalom jumps,Plyometrics,Abdominals,Body Only,Intermediate
Bear crawl,Strength,Abdominals,Body Only,Intermediate
Crab single-arm reach,Stretching,Abdominals,Body Only,Intermediate
Side lunge cross-body heel-touch,Strength,Abdominals,Body Only,Intermediate
Alligator Crawl,Strength,Abdominals,Body Only,Intermediate
Lying cross-over lower back stretch,Strength,Abdominals,Body Only,Intermediate
Half bird dog,Stretching,Abdominals,Body Only,Intermediate
Shoulder tap,Strength,Abdominals,Body Only,Intermediate
Double crunch,Strength,Abdominals,Body Only,Intermediate
Flutter kick,Strength,Abdominals,Body Only,Intermediate
Sprawl,Strength,Abdominals,Body Only,Intermediate
Spider plank jack,Strength,Abdominals,Body Only,Intermediate
Pillar-To-Plank,Strength,Abdominals,Body Only,Intermediate
Alternating High Knee Raise,Strength,Abdominals,Body Only,Intermediate
Sumo Squat Pulse,Strength,Abdominals,Body Only,Intermediate
Line-Drill Foot Work,Strength,Abdominals,Body Only,Intermediate
Plank Fire Hydrants,Strength,Abdominals,Body Only,Intermediate
Banded jumping jack,Strength,Abdominals,Body Only,Intermediate
Shin hug,Strength,Abdominals,Body Only,Intermediate
FYR Bear Crawl Fire Feet,Strength,Abdominals,Body Only,Intermediate
Bear crawl up-down,Strength,Abdominals,Body Only,Intermediate
FYR Crab Kick,Strength,Abdominals,Body Only,Intermediate
Bear crawl hold,Strength,Abdominals,Body Only,Intermediate
Traveling bear crawl,Strength,Abdominals,Body Only,Intermediate
Single-leg V-up,Strength,Abdominals,Body Only,Intermediate
FYR Bear Crawl Shoulder Tap,Strength,Abdominals,Body Only,Intermediate
Alternating single-leg sprawl,Strength,Abdominals,Body Only,Intermediate
Wide mountain climber,Strength,Abdominals,Body Only,Intermediate
Plank leg raise,Strength,Abdominals,Body Only,Intermediate
Glute bridge step-out,Strength,Abdominals,Body Only,Intermediate
Knee up-down,Strength,Abdominals,Body Only,Intermediate
FYR Sprawl,Strength,Abdominals,Body Only,Intermediate
Reach crunch,Strength,Abdominals,Body Only,Intermediate
FYR Push-Up Plank Hold,Strength,Abdominals,Body Only,Intermediate
FYR Hollow-Body Rock,Strength,Abdominals,Body Only,Intermediate
V-up plus knee-to-chest combo,Strength,Abdominals,Body Only,Intermediate
Side plank lateral raise,Strength,Abdominals,Body Only,Intermediate
Superhero burpee,Strength,Abdominals,Body Only,Intermediate
Hollow-body abduction,Strength,Abdominals,Body Only,Intermediate
FYR Hollow Hold,Strength,Abdominals,Body Only,Intermediate
Tip-toe crunch,Strength,Abdominals,Body Only,Intermediate
Knee-to-nose pulse,Strength,Abdominals,Body Only,Intermediate
Plank walk-out,Strength,Abdominals,Body Only,Intermediate
FYR V-Up,Strength,Abdominals,Body Only,Intermediate
Long sit-up,Strength,Abdominals,Body Only,Intermediate
FYR Breakdancer,Strength,Abdominals,Body Only,Intermediate
Seated leg lift,Strength,Abdominals,Body Only,Intermediate
Gorilla burpee,Strength,Abdominals,Body Only,Intermediate
Knee-in to V-out,Strength,Abdominals,Body Only,Intermediate
Bear crawl push-up,Strength,Abdominals,Body Only,Intermediate
FYR Front Step,Strength,Abdominals,Body Only,Intermediate
Plank reach,Strength,Abdominals,Body Only,Intermediate
Eiffel Tower leg raise,Strength,Abdominals,Body Only,Intermediate
Straight-arm plank,Strength,Abdominals,Body Only,Intermediate
Plank up-down,Strength,Abdominals,Body Only,Intermediate
Frog kick,Strength,Abdominals,Body Only,Intermediate
FYR Knees to Chest,Strength,Abdominals,Body Only,Intermediate
Front kick-through,Strength,Abdominals,Body Only,Intermediate
FYR Sit-Up,Strength,Abdominals,Body Only,Intermediate
FYR Leg Lift,Strength,Abdominals,Body Only,Intermediate
TBS Toes-to-bar,Strength,Abdominals,Body Only,Intermediate
FYR Mountain Climber,Strength,Abdominals,Body Only,Intermediate
Roman Chair Side Ups,Strength,Abdominals,Body Only,Intermediate
Push-Up Roll Out - Gethin Variation,Strength,Abdominals,Body Only,Intermediate
Cross-Body Crunch - Gethin Variation,Strength,Abdominals,Body Only,Intermediate
Decline leg lift with twist,Strength,Abdominals,Body Only,Intermediate
Hanging Leg Raise - Variation Gethin,Strength,Abdominals,Body Only,Intermediate
Butterfly crunch,Strength,Abdominals,Body Only,Intermediate
Cross-body mountain climber,Strength,Abdominals,Body Only,Intermediate
Flat Bench Lying Leg Raise - Gethin Variation,Strength,Abdominals,Body Only,Intermediate
Lying leg lift,Strength,Abdominals,Body Only,Intermediate
Hanging alternating single-leg raise,Strength,Abdominals,Body Only,Intermediate
Plank Walk,Strength,Abdominals,Body Only,Intermediate
Sit-Up - Gethin Variation,Strength,Abdominals,Body Only,Intermediate
Plank Push-Up,Strength,Abdominals,Body Only,Intermediate
Decline crunch-,Strength,Abdominals,Body Only,Intermediate
Alternating lying leg raise,Strength,Abdominals,Body Only,Intermediate
Decline leg lift,Strength,Abdominals,Body Only,Intermediate
Crunch - Gethin Variation,Strength,Abdominals,Body Only,Intermediate
Plank - Gethin Variation,Strength,Abdominals,Body Only,Intermediate
Barbell floor wiper,Strength,Abdominals,Body Only,Intermediate
Prison Push-Up,Strength,Abdominals,Body Only,Intermediate
McGill Modified Curl-Up,Strength,Abdominals,Body Only,Intermediate
Cross-body toe-touch,Strength,Abdominals,Body Only,Intermediate
Toy soldier,Strength,Abdominals,Body Only,Intermediate
Natural Glute Ham Raise with Stability Ball,Strength,Abdominals,Body Only,Intermediate
Lateral ape,Strength,Abdominals,Body Only,Intermediate
Hollow-body knee tuck,Strength,Abdominals,Body Only,Intermediate
HM Air Jumping Rope,Strength,Abdominals,Body Only,Intermediate
HM Alternating Lunge Reach,Strength,Abdominals,Body Only,Intermediate
HM Alternating Side Plank Reach,Strength,Abdominals,Body Only,Intermediate
HM Superman Plank,Strength,Abdominals,Body Only,Intermediate
HM Table Pose,Strength,Abdominals,Body Only,Intermediate
HM Toe Touch,Strength,Abdominals,Body Only,Intermediate
HM Right Side Bird-Dog,Stretching,Abdominals,Body Only,Intermediate
HM Right Side Crunch,Strength,Abdominals,Body Only,Intermediate
HM Bicycle,Strength,Abdominals,Body Only,Intermediate
HM Bird-Dog Plank,Strength,Abdominals,Body Only,Intermediate
HM Boat Pose,Strength,Abdominals,Body Only,Intermediate
HM Bottoms Up,Strength,Abdominals,Body Only,Intermediate
HM Bridge,Strength,Abdominals,Body Only,Intermediate
HM Running Man Crunch,Cardio,Abdominals,Body Only,Intermediate
HM Seated Twist,Strength,Abdominals,Body Only,Intermediate
HM Side-Bend Pose,Strength,Abdominals,Body Only,Intermediate
HM Side-Plank Arm Wrap,Strength,Abdominals,Body Only,Intermediate
HM Side-Plank with Hip Touch,Strength,Abdominals,Body Only,Intermediate
HM Side-Plank with Kick,Strength,Abdominals,Body Only,Intermediate
HM Side V-Up,Strength,Abdominals,Body Only,Intermediate
HM Crab Crunch,Strength,Abdominals,Body Only,Intermediate
HM Cross-Over Crunch,Strength,Abdominals,Body Only,Intermediate
HM Crunch Pulse,Strength,Abdominals,Body Only,Intermediate
HM Dead Bug,Strength,Abdominals,Body Only,Intermediate
HM Single-Leg Inchworm,Strength,Abdominals,Body Only,Intermediate
HM Floor Jack,Strength,Abdominals,Body Only,Intermediate
HM Floor Wiper,Strength,Abdominals,Body Only,Intermediate
HM Floor Kick,Strength,Abdominals,Body Only,Intermediate
HM Sit-Up,Strength,Abdominals,Body Only,Intermediate
HM Slow Mountain Climber,Strength,Abdominals,Body Only,Intermediate
HM Slow Sit-Up,Strength,Abdominals,Body Only,Intermediate
HM Half-Up,Strength,Abdominals,Body Only,Intermediate
HM Hollow-Body Pulse,Strength,Abdominals,Body Only,Intermediate
HM Hollow Hold,Strength,Abdominals,Body Only,Intermediate
HM Inchworm,Strength,Abdominals,Body Only,Intermediate
HM Right Side Hollow Hold with Pulse,Strength,Abdominals,Body Only,Intermediate
HM Reverse Crunch with Frisbee,Strength,Abdominals,Body Only,Intermediate
HM Left Side Bird-Dog,Strength,Abdominals,Body Only,Intermediate
HM Left Side Crunch,Strength,Abdominals,Body Only,Intermediate
HM Left Side Hollow Hold With Pulse,Strength,Abdominals,Body Only,Intermediate
HM Reverse Crunch,Strength,Abdominals,Body Only,Intermediate
HM Low Lunge With External Twist And Arm Reach,Strength,Abdominals,Body Only,Intermediate
HM Mountain Climber,Strength,Abdominals,Body Only,Intermediate
HM Prison Sit-Up,Strength,Abdominals,Body Only,Intermediate
HM Plank Alternating Hip-Dip,Strength,Abdominals,Body Only,Intermediate
HM Tuck-Up Get-Up,Strength,Abdominals,Body Only,Intermediate
HM Flutter Kick,Strength,Abdominals,Body Only,Intermediate
HM Plank,Strength,Abdominals,Body Only,Intermediate
McGill Pull-Up,Strength,Abdominals,Body Only,Intermediate
AM Leg Lift,Strength,Abdominals,Body Only,Intermediate
AM Decline Abs,Strength,Abdominals,Body Only,Intermediate
Hanging crunch,Strength,Abdominals,Body Only,Intermediate
Tyler Holt Hanging Toes-To-Bar,Strength,Abdominals,Body Only,Intermediate
Side plank,Strength,Abdominals,Body Only,Intermediate
Bird dog-,Strength,Abdominals,Body Only,Intermediate
Single-leg curl up,Strength,Abdominals,Body Only,Intermediate
Single-kettlebell windmill,Strength,Abdominals,Body Only,Intermediate
UNS Foam Roll Thigh,Strength,Abdominals,Body Only,Intermediate
UNS Inverted row,Strength,Abdominals,Body Only,Intermediate
UNS T-spine rotation with reach,Strength,Abdominals,Body Only,Intermediate
UNS Quadruped thoracic rotation,Strength,Abdominals,Body Only,Intermediate
UNS Pec stretch,Strength,Abdominals,Body Only,Intermediate
UNS Lat stretch,Strength,Abdominals,Body Only,Intermediate
UNS Foam Roll,Strength,Abdominals,Body Only,Intermediate
UNS Foam Roll Lats,Strength,Abdominals,Body Only,Intermediate
UNS Rocking Adductor Stretch,Strength,Abdominals,Body Only,Intermediate
UNS Bird Dog,Strength,Abdominals,Body Only,Intermediate
UNS Jumping Jack,Strength,Abdominals,Body Only,Intermediate
Ab wheel roll-out,Strength,Abdominals,Body Only,Intermediate
Bench mountain climber,Strength,Abdominals,Body Only,Intermediate
Feet-elevated bench side plank,Strength,Abdominals,Body Only,Intermediate
Cross-body sit-up,Strength,Abdominals,Body Only,Intermediate
Decline kayak,Strength,Abdominals,Body Only,Intermediate
30 Decline Reverse Crunch,Strength,Abdominals,Body Only,Intermediate
Decline sit-up twist,Strength,Abdominals,Body Only,Intermediate
30 Flat Bench Leg Raise,Strength,Abdominals,Body Only,Intermediate
30 Flutter Kick,Strength,Abdominals,Body Only,Intermediate
Chin-up crunch,Strength,Abdominals,Body Only,Intermediate
30 Gorilla Chin Oblique Crunch,Strength,Abdominals,Body Only,Intermediate
