User_ID,Age,Weight_KG,Height_CM,BMI,Fitness_Goal,Diet_Preference,Experience_Level
160,34,54,155,22.5,Muscle Gain,Vegetarian,Intermediate
161,47,90,169,31.5,Weight Maintenance,Vegetarian,Beginner
162,51,71,153,30.3,Weight Maintenance,Vegetarian,Intermediate
163,37,51,168,18.1,Weight Maintenance,Vegetarian,Beginner
164,65,77,171,26.3,Fat Loss,Vegetarian,Advanced
165,54,74,180,22.8,Fat Loss,Vegetarian,Intermediate
166,48,61,163,23.0,Weight Maintenance,Non-Vegetarian,Beginner
167,34,117,161,45.1,Muscle Gain,Vegetarian,Beginner
168,54,111,169,38.9,Weight Maintenance,Vegetarian,Beginner
169,50,116,183,34.6,Fat Loss,Vegetarian,Beginner
170,60,52,194,13.8,Muscle Gain,Non-Vegetarian,Advanced
171,56,86,173,28.7,Fat Loss,Non-Vegetarian,Beginner
172,30,75,197,19.3,Muscle Gain,Vegetarian,Beginner
173,60,102,197,26.3,Weight Maintenance,Non-Vegetarian,Advanced
174,58,122,199,30.8,Weight Maintenance,Vegetarian,Beginner
175,22,119,185,34.8,Weight Maintenance,Vegetarian,Beginner
176,36,99,184,29.2,Weight Maintenance,Vegetarian,Advanced
177,57,108,173,36.1,Weight Maintenance,Vegetarian,Advanced
178,47,128,179,39.9,Weight Maintenance,Vegetarian,Beginner
179,48,51,154,21.5,Weight Maintenance,Non-Vegetarian,Beginner
180,59,128,168,45.4,Weight Maintenance,Vegetarian,Intermediate
181,42,78,161,30.1,Fat Loss,Non-Vegetarian,Advanced
182,33,116,200,29.0,Weight Maintenance,Non-Vegetarian,Beginner
183,25,86,182,26.0,Fat Loss,Vegetarian,Intermediate
184,28,117,152,50.6,Muscle Gain,Vegetarian,Advanced
185,38,102,196,26.6,Weight Maintenance,Non-Vegetarian,Advanced
186,20,68,185,19.9,Weight Maintenance,Non-Vegetarian,Advanced
187,62,64,178,20.2,Fat Loss,Vegetarian,Advanced
188,38,102,176,32.9,Weight Maintenance,Vegetarian,Intermediate
189,23,112,156,46.0,Muscle Gain,Non-Vegetarian,Advanced
190,20,75,189,21.0,Weight Maintenance,Non-Vegetarian,Advanced
191,59,88,155,36.6,Weight Maintenance,Vegetarian,Beginner
192,47,124,176,40.0,Fat Loss,Vegetarian,Beginner
193,65,101,189,28.3,Weight Maintenance,Non-Vegetarian,Advanced
194,24,116,178,36.6,Fat Loss,Vegetarian,Intermediate
195,34,117,199,29.5,Muscle Gain,Vegetarian,Intermediate
196,54,107,172,36.2,Muscle Gain,Vegetarian,Beginner
197,32,114,195,30.0,Fat Loss,Vegetarian,Advanced
198,37,101,191,27.7,Weight Maintenance,Vegetarian,Intermediate
199,39,54,167,19.4,Fat Loss,Non-Vegetarian,Intermediate
200,58,106,199,26.8,Muscle Gain,Vegetarian,Intermediate
201,55,127,161,49.0,Fat Loss,Vegetarian,Beginner
202,54,63,194,16.7,Weight Maintenance,Non-Vegetarian,Beginner
203,35,99,186,28.6,Muscle Gain,Vegetarian,Intermediate
204,44,78,189,21.8,Weight Maintenance,Vegetarian,Intermediate
205,43,80,163,30.1,Weight Maintenance,Non-Vegetarian,Beginner
206,56,68,166,24.7,Weight Maintenance,Vegetarian,Advanced
207,57,57,189,16.0,Muscle Gain,Vegetarian,Beginner
208,20,102,165,37.5,Muscle Gain,Vegetarian,Advanced
209,27,121,150,53.8,Weight Maintenance,Vegetarian,Beginner
210,37,71,184,21.0,Weight Maintenance,Non-Vegetarian,Beginner
211,45,83,189,23.2,Fat Loss,Non-Vegetarian,Beginner
212,24,91,185,26.6,Muscle Gain,Non-Vegetarian,Beginner
213,61,115,192,31.2,Muscle Gain,Vegetarian,Beginner
214,38,59,193,15.8,Weight Maintenance,Vegetarian,Beginner
215,46,96,161,37.0,Weight Maintenance,Vegetarian,Intermediate
216,45,99,163,37.3,Weight Maintenance,Vegetarian,Beginner
217,27,85,185,24.8,Weight Maintenance,Vegetarian,Advanced
218,45,82,183,24.5,Fat Loss,Vegetarian,Advanced
219,40,84,152,36.4,Weight Maintenance,Vegetarian,Beginner
220,30,106,198,27.0,Muscle Gain,Non-Vegetarian,Beginner
221,41,117,190,32.4,Weight Maintenance,Vegetarian,Advanced
222,55,88,168,31.2,Muscle Gain,Vegetarian,Advanced
223,42,79,179,24.7,Fat Loss,Vegetarian,Advanced
224,53,75,190,20.8,Fat Loss,Vegetarian,Intermediate
225,30,76,171,26.0,Muscle Gain,Vegetarian,Beginner
226,46,73,158,29.2,Weight Maintenance,Vegetarian,Intermediate
227,21,100,161,38.6,Fat Loss,Vegetarian,Intermediate
228,52,74,171,25.3,Weight Maintenance,Vegetarian,Intermediate
229,39,92,178,29.0,Fat Loss,Vegetarian,Advanced
230,35,91,164,33.8,Weight Maintenance,Vegetarian,Beginner
231,65,57,183,17.0,Fat Loss,Vegetarian,Advanced
232,24,76,154,32.0,Fat Loss,Vegetarian,Intermediate
233,49,54,175,17.6,Fat Loss,Vegetarian,Beginner
234,51,88,178,27.8,Weight Maintenance,Vegetarian,Intermediate
235,33,110,199,27.8,Fat Loss,Non-Vegetarian,Intermediate
236,20,101,163,38.0,Muscle Gain,Non-Vegetarian,Advanced
237,35,107,150,47.6,Weight Maintenance,Vegetarian,Advanced
238,21,55,159,21.8,Weight Maintenance,Non-Vegetarian,Intermediate
239,18,65,175,21.2,Weight Maintenance,Non-Vegetarian,Intermediate
240,61,113,155,47.0,Muscle Gain,Vegetarian,Intermediate
241,56,119,170,41.2,Weight Maintenance,Vegetarian,Advanced
242,56,64,181,19.5,Fat Loss,Vegetarian,Beginner
243,65,130,163,48.9,Muscle Gain,Non-Vegetarian,Intermediate
244,21,130,195,34.2,Weight Maintenance,Non-Vegetarian,Beginner
245,50,81,161,31.2,Fat Loss,Vegetarian,Advanced
246,36,125,164,46.5,Fat Loss,Vegetarian,Intermediate
247,29,62,162,23.6,Muscle Gain,Non-Vegetarian,Beginner
248,35,121,170,41.9,Fat Loss,Non-Vegetarian,Intermediate
249,21,82,200,20.5,Fat Loss,Non-Vegetarian,Beginner
250,65,91,161,35.1,Weight Maintenance,Vegetarian,Beginner
251,25,63,159,24.9,Muscle Gain,Vegetarian,Beginner
252,18,67,164,24.9,Weight Maintenance,Vegetarian,Beginner
253,25,76,159,30.1,Muscle Gain,Non-Vegetarian,Beginner
254,55,70,151,30.7,Muscle Gain,Vegetarian,Advanced
255,50,101,156,41.5,Muscle Gain,Non-Vegetarian,Advanced
256,52,91,164,33.8,Weight Maintenance,Vegetarian,Intermediate
257,48,100,156,41.1,Fat Loss,Non-Vegetarian,Advanced
258,63,126,183,37.6,Muscle Gain,Vegetarian,Advanced
259,59,115,172,38.9,Weight Maintenance,Non-Vegetarian,Intermediate
260,44,55,198,14.0,Weight Maintenance,Vegetarian,Beginner
261,58,72,197,18.6,Fat Loss,Vegetarian,Advanced
262,29,57,165,20.9,Fat Loss,Vegetarian,Advanced
263,40,56,169,19.6,Fat Loss,Vegetarian,Beginner
264,22,128,179,39.9,Fat Loss,Non-Vegetarian,Beginner
265,33,120,154,50.6,Fat Loss,Non-Vegetarian,Beginner
266,40,63,176,20.3,Weight Maintenance,Vegetarian,Advanced
267,34,56,153,23.9,Muscle Gain,Vegetarian,Advanced
268,56,65,161,25.1,Fat Loss,Non-Vegetarian,Intermediate
269,62,50,169,17.5,Weight Maintenance,Non-Vegetarian,Beginner
270,53,81,162,30.9,Muscle Gain,Non-Vegetarian,Intermediate
271,34,93,155,38.7,Muscle Gain,Vegetarian,Intermediate
272,36,113,200,28.2,Fat Loss,Vegetarian,Beginner
273,39,88,150,39.1,Weight Maintenance,Vegetarian,Intermediate
274,47,104,150,46.2,Weight Maintenance,Non-Vegetarian,Intermediate
275,46,86,190,23.8,Muscle Gain,Non-Vegetarian,Beginner
276,29,56,194,14.9,Weight Maintenance,Non-Vegetarian,Beginner
277,60,119,180,36.7,Muscle Gain,Vegetarian,Advanced
278,33,63,195,16.6,Fat Loss,Vegetarian,Beginner
279,65,50,186,14.5,Fat Loss,Non-Vegetarian,Intermediate
280,63,111,182,33.5,Weight Maintenance,Vegetarian,Intermediate
281,50,100,194,26.6,Fat Loss,Vegetarian,Advanced
282,40,52,197,13.4,Fat Loss,Vegetarian,Beginner
283,61,120,158,48.1,Weight Maintenance,Vegetarian,Advanced
284,55,83,160,32.4,Muscle Gain,Vegetarian,Intermediate
285,61,75,154,31.6,Weight Maintenance,Vegetarian,Intermediate
286,23,79,189,22.1,Fat Loss,Non-Vegetarian,Advanced
287,23,102,192,27.7,Muscle Gain,Non-Vegetarian,Beginner
288,55,59,190,16.3,Weight Maintenance,Vegetarian,Beginner
289,34,79,174,26.1,Muscle Gain,Vegetarian,Beginner
290,55,107,173,35.8,Fat Loss,Vegetarian,Intermediate
291,42,64,192,17.4,Muscle Gain,Vegetarian,Intermediate
292,21,116,182,35.0,Muscle Gain,Non-Vegetarian,Beginner
293,18,107,162,40.8,Fat Loss,Vegetarian,Advanced
294,40,130,193,34.9,Fat Loss,Vegetarian,Beginner
295,59,99,168,35.1,Muscle Gain,Vegetarian,Beginner
296,22,83,160,32.4,Muscle Gain,Vegetarian,Beginner
297,48,64,151,28.1,Fat Loss,Vegetarian,Beginner
298,57,115,160,44.9,Muscle Gain,Non-Vegetarian,Advanced
299,31,97,159,38.4,Weight Maintenance,Vegetarian,Intermediate
300,55,88,179,27.5,Muscle Gain,Vegetarian,Intermediate
301,46,117,190,32.4,Weight Maintenance,Non-Vegetarian,Advanced
302,49,109,193,29.3,Fat Loss,Vegetarian,Intermediate
303,41,116,194,30.8,Muscle Gain,Vegetarian,Intermediate
304,37,62,195,16.3,Weight Maintenance,Vegetarian,Advanced
305,42,68,200,17.0,Fat Loss,Vegetarian,Advanced
306,21,91,169,31.9,Muscle Gain,Vegetarian,Advanced
307,39,81,181,24.7,Weight Maintenance,Non-Vegetarian,Intermediate
308,23,57,176,18.4,Weight Maintenance,Non-Vegetarian,Advanced
309,40,74,196,19.3,Muscle Gain,Vegetarian,Advanced
310,18,65,163,24.5,Weight Maintenance,Vegetarian,Intermediate
311,23,118,176,38.1,Muscle Gain,Vegetarian,Beginner
312,59,67,190,18.6,Fat Loss,Non-Vegetarian,Advanced
313,28,87,162,33.2,Muscle Gain,Non-Vegetarian,Intermediate
314,51,61,179,19.0,Muscle Gain,Vegetarian,Advanced
315,53,78,197,20.1,Weight Maintenance,Non-Vegetarian,Advanced
316,19,124,190,34.3,Muscle Gain,Non-Vegetarian,Intermediate
317,41,109,194,29.0,Muscle Gain,Vegetarian,Advanced
318,62,78,192,21.2,Fat Loss,Vegetarian,Advanced
319,45,108,169,37.8,Muscle Gain,Vegetarian,Intermediate
320,45,81,158,32.4,Fat Loss,Vegetarian,Advanced
321,45,80,160,31.2,Muscle Gain,Non-Vegetarian,Intermediate
322,35,65,151,28.5,Muscle Gain,Vegetarian,Advanced
323,28,63,187,18.0,Muscle Gain,Vegetarian,Advanced
324,46,71,152,30.7,Weight Maintenance,Vegetarian,Beginner
325,21,85,170,29.4,Fat Loss,Vegetarian,Advanced
326,60,108,191,29.6,Fat Loss,Vegetarian,Advanced
327,65,82,168,29.1,Fat Loss,Vegetarian,Advanced
328,62,109,181,33.3,Muscle Gain,Vegetarian,Beginner
329,31,83,174,27.4,Weight Maintenance,Vegetarian,Advanced
330,20,69,178,21.8,Fat Loss,Vegetarian,Advanced
331,31,83,165,30.5,Weight Maintenance,Vegetarian,Intermediate
332,35,82,171,28.0,Muscle Gain,Vegetarian,Beginner
333,51,50,198,12.8,Muscle Gain,Vegetarian,Advanced
334,36,84,168,29.8,Muscle Gain,Vegetarian,Beginner
335,56,52,167,18.6,Weight Maintenance,Vegetarian,Beginner
336,64,86,190,23.8,Weight Maintenance,Vegetarian,Intermediate
337,49,128,162,48.8,Weight Maintenance,Non-Vegetarian,Advanced
338,21,122,152,52.8,Fat Loss,Vegetarian,Advanced
339,49,92,154,38.8,Muscle Gain,Vegetarian,Advanced
340,46,89,174,29.4,Muscle Gain,Non-Vegetarian,Intermediate
341,54,58,162,22.1,Fat Loss,Vegetarian,Advanced
342,44,55,169,19.3,Weight Maintenance,Vegetarian,Intermediate
343,35,91,170,31.5,Muscle Gain,Non-Vegetarian,Beginner
344,57,128,166,46.5,Weight Maintenance,Vegetarian,Beginner
345,32,52,191,14.3,Muscle Gain,Vegetarian,Intermediate
346,38,104,159,41.1,Fat Loss,Vegetarian,Beginner
347,19,106,164,39.4,Fat Loss,Non-Vegetarian,Beginner
348,41,78,167,28.0,Fat Loss,Vegetarian,Advanced
349,43,130,197,33.5,Weight Maintenance,Non-Vegetarian,Beginner
350,64,111,169,38.9,Fat Loss,Vegetarian,Beginner
351,47,55,185,16.1,Weight Maintenance,Vegetarian,Intermediate
352,42,127,159,50.2,Weight Maintenance,Non-Vegetarian,Beginner
353,44,94,178,29.7,Fat Loss,Vegetarian,Beginner
354,65,84,192,22.8,Fat Loss,Vegetarian,Advanced
355,44,84,193,22.6,Muscle Gain,Vegetarian,Advanced
356,24,74,192,20.1,Weight Maintenance,Non-Vegetarian,Beginner
357,39,89,168,31.5,Muscle Gain,Vegetarian,Intermediate
358,62,121,157,49.1,Fat Loss,Vegetarian,Advanced
359,39,86,161,33.2,Muscle Gain,Non-Vegetarian,Beginner
360,26,64,184,18.9,Weight Maintenance,Non-Vegetarian,Beginner
361,26,57,157,23.1,Weight Maintenance,Non-Vegetarian,Intermediate
362,49,103,156,42.3,Muscle Gain,Vegetarian,Beginner
363,47,105,182,31.7,Fat Loss,Vegetarian,Beginner
364,47,56,189,15.7,Muscle Gain,Vegetarian,Beginner
365,39,114,168,40.4,Fat Loss,Vegetarian,Beginner
366,39,101,192,27.4,Muscle Gain,Vegetarian,Intermediate
367,32,57,168,20.2,Fat Loss,Non-Vegetarian,Beginner
368,28,60,178,18.9,Fat Loss,Non-Vegetarian,Advanced
369,63,63,192,17.1,Weight Maintenance,Vegetarian,Advanced
370,47,70,189,19.6,Muscle Gain,Vegetarian,Intermediate
371,60,61,173,20.4,Fat Loss,Non-Vegetarian,Beginner
372,41,112,181,34.2,Muscle Gain,Vegetarian,Beginner
373,33,57,169,20.0,Muscle Gain,Vegetarian,Intermediate
374,37,115,166,41.7,Muscle Gain,Non-Vegetarian,Intermediate
375,21,73,192,19.8,Fat Loss,Vegetarian,Intermediate
376,51,97,189,27.2,Fat Loss,Vegetarian,Advanced
377,47,89,152,38.5,Weight Maintenance,Vegetarian,Beginner
378,51,94,157,38.1,Muscle Gain,Vegetarian,Beginner
379,22,84,197,21.6,Weight Maintenance,Non-Vegetarian,Beginner
380,58,95,187,27.2,Weight Maintenance,Vegetarian,Intermediate
381,24,123,168,43.6,Muscle Gain,Non-Vegetarian,Beginner
382,41,115,191,31.5,Fat Loss,Vegetarian,Intermediate
383,39,59,164,21.9,Fat Loss,Vegetarian,Beginner
384,62,60,155,25.0,Fat Loss,Vegetarian,Intermediate
385,41,92,193,24.7,Muscle Gain,Vegetarian,Intermediate
386,51,73,189,20.4,Weight Maintenance,Vegetarian,Advanced
387,57,50,184,14.8,Fat Loss,Non-Vegetarian,Advanced
388,56,53,181,16.2,Muscle Gain,Vegetarian,Advanced
389,31,93,154,39.2,Fat Loss,Non-Vegetarian,Advanced
390,29,100,152,43.3,Fat Loss,Vegetarian,Advanced
391,41,114,172,38.5,Fat Loss,Vegetarian,Advanced
392,51,76,175,24.8,Weight Maintenance,Vegetarian,Intermediate
393,40,55,155,22.9,Fat Loss,Vegetarian,Beginner
394,42,79,155,32.9,Weight Maintenance,Vegetarian,Advanced
395,50,64,159,25.3,Weight Maintenance,Vegetarian,Beginner
396,50,71,165,26.1,Fat Loss,Non-Vegetarian,Intermediate
397,54,82,196,21.3,Muscle Gain,Non-Vegetarian,Beginner
398,63,87,180,26.9,Muscle Gain,Vegetarian,Intermediate
399,19,86,162,32.8,Muscle Gain,Vegetarian,Beginner
400,22,60,156,24.7,Fat Loss,Non-Vegetarian,Beginner
401,18,120,150,53.3,Weight Maintenance,Non-Vegetarian,Beginner
402,38,100,164,37.2,Muscle Gain,Non-Vegetarian,Beginner
403,48,81,185,23.7,Fat Loss,Vegetarian,Intermediate
404,37,96,155,40.0,Fat Loss,Vegetarian,Intermediate
405,40,119,172,40.2,Muscle Gain,Non-Vegetarian,Advanced
406,54,59,156,24.2,Fat Loss,Vegetarian,Beginner
407,33,55,163,20.7,Fat Loss,Vegetarian,Intermediate
408,53,104,197,26.8,Fat Loss,Vegetarian,Intermediate
409,55,107,174,35.3,Weight Maintenance,Vegetarian,Advanced
410,49,115,181,35.1,Fat Loss,Vegetarian,Advanced
411,37,52,159,20.6,Muscle Gain,Non-Vegetarian,Intermediate
412,48,94,159,37.2,Fat Loss,Vegetarian,Intermediate
413,21,124,158,49.7,Muscle Gain,Non-Vegetarian,Advanced
414,60,97,166,35.2,Fat Loss,Non-Vegetarian,Advanced
415,22,79,184,23.3,Weight Maintenance,Non-Vegetarian,Intermediate
416,34,126,191,34.5,Fat Loss,Non-Vegetarian,Beginner
